,File Name,Closest Distance,Human Target,Human Width,Human Length,Human Area,Animal Taget,Animal Width,Animal Length,Animal Area,Area Ratio,Label
0,Bpic5.jpg,221.5947878448408,"(24, 3, 1028, 972)",969,1004,972876,"(170, 401, 753, 998)",597,583,348051,2.7952110466569553,1
1,Bpic6.jpg,279.289276557479,"(227, 174, 841, 585)",411,614,252354,"(405, 498, 910, 762)",264,505,133320,1.8928442844284428,1
2,Bpic7.jpeg,407.21769362344753,"(113, 0, 1027, 610)",610,914,557540,"(251, 437, 1025, 976)",539,774,417186,1.3364302733073496,1
3,c_photo2.jpg,321.8400223713639,"(155, 302, 477, 541)",239,322,76958,"(225, 0, 1025, 1023)",1023,800,818400,10.634371995114218,1
4,c_photo3.jpg,356.7197779770558,"(222, 528, 488, 630)",102,266,27132,"(290, 516, 1020, 1028)",512,730,373760,13.77561550936164,1
5,c_photo5.jpg,320.2440475637291,"(427, 6, 1027, 957)",951,600,570600,"(441, 81, 609, 385)",304,168,51072,11.172462406015038,1
6,c_photo10.jpg,207.92125913431747,"(176, 13, 1022, 900)",887,846,750402,"(68, 127, 892, 445)",318,824,262032,2.8637799963363255,1
7,c_photo13.jpg,260.73597757118216,"(247, 192, 1025, 1026)",834,778,648852,"(481, 785, 669, 940)",155,188,29140,22.266712422786547,1
8,c_photo14.jpg,349.17330940379736,"(89, 505, 1024, 957)",452,935,422620,"(116, 79, 1019, 685)",606,903,547218,1.2948227722303725,1
9,c_photo17.jpg,169.1545151629125,"(7, 134, 1018, 1021)",887,1011,896757,"(478, 337, 844, 656)",319,366,116754,7.68073898967059,1
10,c_photo22.jpg,438.37027727709824,"(4, 304, 1027, 1020)",716,1023,732468,"(150, 0, 1024, 459)",459,874,401166,1.8258476540883326,1
11,c_photo23.jpg,221.5947878448408,"(24, 3, 1028, 972)",969,1004,972876,"(170, 401, 753, 998)",597,583,348051,2.7952110466569553,1
12,c_photo25.jpg,348.97886755504265,"(30, 459, 1024, 853)",394,994,391636,"(126, 10, 1019, 610)",600,893,535800,1.3681071198766201,1
13,c_photo26.jpg,265.6689669494727,"(423, 188, 1020, 1026)",838,597,500286,"(214, 205, 757, 765)",560,543,304080,1.6452446724546173,1
14,c_photo29.jpg,134.837865601618,"(162, 324, 952, 999)",675,790,533250,"(278, 366, 786, 692)",326,508,165608,3.2199531423602723,1
15,c_photo31.jpg,294.9377052870657,"(158, 534, 677, 679)",145,519,75255,"(525, 600, 838, 876)",276,313,86388,1.1479370141518837,1
16,c_photo32.jpg,195.97512597266012,"(268, 239, 607, 315)",76,339,25764,"(422, 263, 793, 486)",223,371,82733,3.211186151218755,1
17,Cpic17.jpg,447.5628447492039,"(53, 403, 926, 999)",596,873,520308,"(257, 104, 1023, 455)",351,766,268866,1.9351944834973556,1
18,Cpic18.jpeg,400.45630223533755,"(51, 84, 800, 524)",440,749,329560,"(350, 442, 795, 911)",469,445,208705,1.5790709374475935,1
19,Cpic20.jpeg,437.24049446500266,"(360, 194, 936, 428)",234,576,134784,"(392, 601, 875, 895)",294,483,142002,1.0535523504273505,1
20,Cpic21.jpeg,195.28952864913163,"(541, 370, 810, 495)",125,269,33625,"(292, 181, 773, 418)",237,481,113997,3.3902453531598513,1
21,Cpic22.jpeg,328.53386431234145,"(269, 58, 632, 353)",295,363,107085,"(488, 182, 1006, 512)",330,518,170940,1.5963020030816641,1
22,Cpic23.jpeg,645.6376692851804,"(503, 0, 1026, 407)",407,523,212861,"(246, 654, 1019, 1017)",363,773,280599,1.3182264482455688,1
23,Cpic24.jpeg,201.91891937111788,"(178, 467, 906, 830)",363,728,264264,"(574, 572, 907, 799)",227,333,75591,3.495971742667778,1
24,Cpic25.jpeg,295.83483567693645,"(6, 312, 1027, 908)",596,1021,608516,"(274, 18, 1026, 674)",656,752,493312,1.233531720290607,1
25,Cpic30.jpeg,270.9783201660236,"(98, 559, 1009, 943)",384,911,349824,"(457, 296, 1009, 800)",504,552,278208,1.2574189095928225,1
26,Cpic32.jpeg,364.1187992949554,"(85, 11, 1024, 600)",589,939,553071,"(316, 467, 1004, 841)",374,688,257312,2.149417827384654,1
27,git1.jpeg,347.48956818874433,"(191, 332, 692, 618)",286,501,143286,"(182, 0, 1015, 330)",330,833,274890,1.91847075080608,1
28,git2.jpeg,390.57425670415097,"(373, 215, 831, 506)",291,458,133278,"(125, 460, 931, 1028)",568,806,457808,3.434985518990381,1
29,git3.png,159.4090649869072,"(387, 138, 1022, 376)",238,635,151130,"(366, 272, 957, 549)",277,591,163707,1.0832197445907497,1
30,git4.jpeg,448.78530501788936,"(21, 0, 1014, 424)",424,993,421032,"(44, 293, 1023, 1028)",735,979,719565,1.7090506184803056,1
31,git5.jpeg,420.4878119517854,"(78, 265, 1020, 1024)",759,942,714978,"(231, 0, 1025, 463)",463,794,367622,1.9448727225247673,1
32,git12.png,206.03701123827244,"(215, 313, 770, 839)",526,555,291930,"(395, 265, 676, 484)",219,281,61539,4.743820991566324,1
33,git15.jpeg,470.16619402079516,"(399, 0, 1025, 948)",948,626,593448,"(83, 279, 401, 694)",415,318,131970,4.496840190952489,1
34,git16.jpeg,492.18721031737505,"(432, 51, 1025, 903)",852,593,505236,"(67, 258, 407, 644)",386,340,131240,3.8497104541298386,1
35,git17.jpeg,444.6105036995865,"(421, 238, 1022, 582)",344,601,206744,"(2, 530, 874, 975)",445,872,388040,1.8769105753975932,1
36,git23.jpeg,266.4812376134575,"(97, 561, 1025, 1028)",467,928,433376,"(328, 439, 539, 682)",243,211,51273,8.452323835156905,1
37,git24.jpeg,576.50542061632,"(276, 0, 1024, 653)",653,748,488444,"(289, 723, 464, 945)",222,175,38850,12.572561132561132,1
38,git28.jpeg,326.385125273809,"(296, 350, 1028, 996)",646,732,472872,"(156, 268, 698, 625)",357,542,193494,2.4438587243015286,1
39,git29.jpeg,540.270302718926,"(356, 555, 1025, 1028)",473,669,316437,"(267, 216, 642, 395)",179,375,67125,4.714145251396648,1
40,git30.jpeg,349.6687718398656,"(7, 4, 1025, 864)",860,1018,875480,"(4, 509, 821, 1027)",518,817,423206,2.0686852265799636,1
41,git31.jpeg,395.2176615486712,"(297, 0, 1021, 411)",411,724,297564,"(406, 454, 530, 649)",195,124,24180,12.30620347394541,1
42,git33.jpeg,375.5269630798833,"(6, 311, 1024, 1026)",715,1018,727870,"(227, 2, 794, 584)",582,567,329994,2.205706770426129,1
43,git37.png,596.4077883461953,"(6, 684, 890, 997)",313,884,276692,"(421, 6, 1022, 615)",609,601,366009,1.322802972257962,1
44,git38.jpg,385.58332432821834,"(206, 0, 1027, 552)",552,821,453192,"(82, 396, 558, 649)",253,476,120428,3.7631779984721163,1
45,git44.jpeg,502.9744029272265,"(48, 195, 750, 387)",192,702,134784,"(495, 569, 861, 850)",281,366,102846,1.3105419753806662,1
46,git45.jpeg,228.42942017174582,"(437, 486, 791, 697)",211,354,74694,"(582, 242, 942, 593)",351,360,126360,1.6917021447505824,1
47,git46.jpeg,506.3328944479116,"(206, 678, 904, 1025)",347,698,242206,"(424, 71, 1020, 676)",605,596,360580,1.4887327316416603,1
48,git48.jpeg,268.63032219018015,"(103, 1, 1005, 353)",352,902,317504,"(621, 49, 1019, 230)",181,398,72038,4.407451622754658,1
49,git51.jpeg,575.4411351302581,"(104, 563, 1022, 1021)",458,918,420444,"(127, 55, 786, 398)",343,659,226037,1.8600671571468388,1
50,git52.jpeg,471.68209633184085,"(0, 741, 658, 951)",210,658,138180,"(216, 127, 1022, 821)",694,806,559364,4.0480822116080475,1
51,git53.jpeg,655.6952417091343,"(81, 0, 1021, 408)",408,940,383520,"(421, 712, 1000, 968)",256,579,148224,2.5874352331606216,1
52,image8.jpg,423.7584807410938,"(146, 662, 1024, 1024)",362,878,317836,"(216, 293, 637, 607)",314,421,132194,2.4043148705690123,1
53,image9.jpeg,685.3329482813444,"(449, 400, 1025, 1028)",628,576,361728,"(15, 3, 549, 400)",397,534,211998,1.7062802479268673,1
54,image10.jpg,382.6855758974984,"(340, 555, 1023, 1021)",466,683,318278,"(112, 509, 559, 740)",231,447,103257,3.082386666279284,1
55,image11.jpg,380.7532009057836,"(128, 675, 1023, 1028)",353,895,315935,"(118, 519, 437, 710)",191,319,60929,5.185297641517176,1
56,image15.jpg,404.38997267489214,"(114, 402, 1028, 1020)",618,914,564852,"(270, 98, 805, 518)",420,535,224700,2.5138050734312416,1
57,image18.jpg,661.4083458802133,"(420, 2, 1023, 645)",643,603,387729,"(14, 607, 391, 860)",253,377,95381,4.06505488514484,1
58,image20.jpg,634.5506283977662,"(271, 696, 886, 844)",148,615,91020,"(391, 40, 693, 233)",193,302,58286,1.5616099921078819,1
59,image28.jpg,333.5093701832079,"(481, 256, 1023, 622)",366,542,198372,"(271, 382, 608, 729)",347,337,116939,1.696371612550133,1
60,image34.jpg,347.320097316582,"(499, 393, 1022, 1017)",624,523,326352,"(347, 467, 524, 698)",231,177,40887,7.981803507227236,1
61,image40.jpg,619.2822458297993,"(59, 6, 1021, 325)",319,962,306878,"(416, 541, 933, 999)",458,517,236786,1.2960141224565642,1
62,image41.jpg,499.761192971203,"(31, 414, 396, 527)",113,365,41245,"(394, 235, 1026, 592)",357,632,225624,5.47033579827858,1
63,image43.jpg,201.60915157799758,"(7, 534, 1028, 1025)",491,1021,501311,"(223, 489, 944, 689)",200,721,144200,3.476497919556172,1
64,image44.jpg,228.13428063313938,"(221, 4, 1023, 536)",532,802,426664,"(376, 329, 902, 666)",337,526,177262,2.4069682165382313,1
65,image47.jpg,360.69377593742865,"(315, 522, 669, 615)",93,354,32922,"(525, 180, 959, 437)",257,434,111538,3.3879472693032016,1
66,image48.jpg,612.0238965922817,"(137, 597, 600, 709)",112,463,51856,"(569, 68, 1026, 365)",297,457,135729,2.617421320580068,1
67,image51.jpg,482.1047603996459,"(0, 0, 1023, 474)",474,1023,484902,"(23, 467, 352, 721)",254,329,83566,5.8026230763707725,1
68,mg3.jpg,298.7829479739431,"(285, 274, 1028, 1010)",736,743,546848,"(352, 316, 582, 506)",190,230,43700,12.513684210526316,1
69,mg16.jpg,537.1042729303128,"(0, 504, 1023, 1024)",520,1023,531960,"(481, 86, 1024, 482)",396,543,215028,2.4739103744628608,1
70,mg17 4.16.14 PM.jpg,592.2098445652521,"(223, 697, 1026, 1024)",327,803,262581,"(180, 53, 798, 515)",462,618,285516,1.0873444765615181,1
71,mg18.jpg,360.33352605606933,"(315, 522, 669, 615)",93,354,32922,"(525, 181, 959, 437)",256,434,111104,3.3747645951035783,1
72,mg19.jpg,349.80065751796405,"(260, 560, 1025, 986)",426,765,325890,"(355, 305, 901, 542)",237,546,129402,2.518430936152455,1
73,mg41.jpg,504.63105334491655,"(43, 202, 748, 390)",188,705,132540,"(490, 564, 888, 849)",285,398,113430,1.1684739486908224,1
